transaction_id,user_id,amount,hour,day_of_week,category,age,gender,country,device,payment_method,ip_address,location,transaction_time,item_quantity,shipping_address,browser_info,is_fraud
27,2847,7.8224977136506455,7,1,clothing,71,F,France,mobile,bank_transfer,58.136.174.57,Guangzhou,2025-10-07 06:30:00,8,Different,Firefox,0.0
28,9267,41.696949451106114,20,6,groceries,41,M,India,mobile,crypto,150.222.80.232,Guangzhou,2025-10-07 06:45:00,8,Same as billing,Safari,0.0
29,289,27.263940819606663,15,3,home,67,M,India,desktop,bank_transfer,1.134.91.54,New York,2025-10-07 07:00:00,9,Same as billing,Edge,0.0
30,2834,11.019231278465098,13,0,books,71,M,USA,mobile,bank_transfer,152.101.78.191,Bangalore,2025-10-07 07:15:00,1,Different,Safari,0.0
31,3105,44.8565861093215,7,5,books,76,F,India,tablet,bank_transfer,82.0.165.250,Montreal,2025-10-07 07:30:00,1,Same as billing,Edge,0.0
32,4758,34.215295079343356,20,6,electronics,18,F,India,mobile,bank_transfer,9.57.185.157,Bangalore,2025-10-07 07:45:00,9,Different,Safari,0.0
33,1999,12.359555907086268,11,5,books,46,M,India,desktop,paypal,122.29.123.40,Guangzhou,2025-10-07 08:00:00,7,Different,Chrome,0.0
34,7834,6.514237552956198,10,2,electronics,65,M,China,mobile,bank_transfer,43.248.35.64,New York,2025-10-07 08:15:00,9,Same as billing,Firefox,0.0
35,1367,11.349934174969217,8,5,books,62,F,Canada,mobile,debit_card,65.243.84.135,Berlin,2025-10-07 08:30:00,2,Same as billing,Chrome,0.0
36,1628,32.39590820811771,16,3,toys,55,M,UK,desktop,bank_transfer,216.108.102.159,Guangzhou,2025-10-07 08:45:00,8,Same as billing,Chrome,0.0
37,3656,13.06833058670218,16,3,clothing,55,F,Canada,tablet,crypto,204.191.224.231,Toronto,2025-10-07 09:00:00,1,Same as billing,Safari,0.0
38,3990,15.159338369376265,21,1,groceries,38,F,China,desktop,credit_card,61.126.115.32,Montreal,2025-10-07 09:15:00,4,Same as billing,Chrome,0.0
39,8938,6.131287659034138,8,5,electronics,40,F,Germany,mobile,paypal,173.10.117.112,Guangzhou,2025-10-07 09:30:00,8,Same as billing,Safari,0.0
40,5493,37.53188025073716,14,0,toys,63,M,UK,mobile,paypal,3.36.30.117,Berlin,2025-10-07 09:45:00,4,Same as billing,Safari,0.0
41,8892,41.466397989174666,8,3,clothing,22,F,India,mobile,paypal,34.16.169.36,Montreal,2025-10-07 10:00:00,3,Same as billing,Chrome,0.0
42,8533,40.85816795474554,16,0,electronics,47,M,India,mobile,paypal,121.142.248.109,London,2025-10-07 10:15:00,7,Different,Safari,0.0
43,7613,10.74056681139279,19,1,home,57,F,UK,tablet,bank_transfer,67.242.124.242,Guangzhou,2025-10-07 10:30:00,5,Same as billing,Firefox,0.0
44,2712,45.64855073249417,7,2,toys,35,F,USA,mobile,crypto,208.97.48.49,Lyon,2025-10-07 10:45:00,1,Different,Edge,0.0
45,7141,35.2525473263336,12,3,electronics,23,F,Germany,mobile,bank_transfer,220.181.216.210,Montreal,2025-10-07 11:00:00,4,Different,Chrome,0.0
46,9655,45.388788006958904,15,3,toys,22,F,France,desktop,credit_card,239.27.50.31,Montreal,2025-10-07 11:15:00,4,Different,Firefox,0.0
47,6335,25.12222270387986,15,3,toys,59,F,Canada,tablet,credit_card,206.173.55.127,Lyon,2025-10-07 11:30:00,1,Same as billing,Safari,0.0
48,5586,24.6629687487664,6,5,toys,35,M,China,desktop,bank_transfer,98.97.229.71,New York,2025-10-07 11:45:00,5,Same as billing,Edge,0.0
49,7199,40.30414334082029,11,0,home,76,F,USA,mobile,bank_transfer,216.93.142.236,New York,2025-10-07 12:00:00,2,Different,Edge,0.0
50,9770,9.198403496453459,19,6,books,30,F,China,mobile,bank_transfer,127.38.226.50,Toronto,2025-10-07 12:15:00,8,Same as billing,Chrome,0.0
51,875,28.43933164856986,7,3,toys,72,M,USA,mobile,crypto,25.7.47.121,Montreal,2025-10-07 12:30:00,9,Same as billing,Firefox,0.0
52,8326,42.637290603405155,11,0,clothing,37,M,India,tablet,paypal,85.208.248.246,New York,2025-10-07 12:45:00,2,Same as billing,Chrome,0.0
53,3252,42.35866533813071,6,5,books,55,F,UK,mobile,credit_card,109.205.30.84,Chicago,2025-10-07 13:00:00,4,Same as billing,Safari,0.0
54,1685,48.02597853540661,8,4,home,38,M,Canada,desktop,credit_card,194.1.199.135,Chicago,2025-10-07 13:15:00,2,Different,Edge,0.0
55,4043,36.42226670887459,9,4,groceries,21,F,USA,desktop,paypal,232.146.216.249,New York,2025-10-07 13:30:00,5,Different,Edge,0.0
56,7655,14.349678324787776,18,0,home,30,F,UK,tablet,paypal,79.97.151.111,London,2025-10-07 13:45:00,7,Same as billing,Firefox,0.0
57,3173,5.912614170256137,8,5,groceries,35,F,UK,mobile,credit_card,29.31.160.29,London,2025-10-07 14:00:00,5,Same as billing,Safari,0.0
58,1121,26.573710938219588,20,4,clothing,30,M,Germany,mobile,credit_card,25.244.80.29,London,2025-10-07 14:15:00,5,Same as billing,Edge,0.0
59,3943,28.116673953015,18,1,groceries,30,F,UK,mobile,crypto,41.95.35.34,London,2025-10-07 14:30:00,2,Different,Safari,0.0
60,8089,15.811816302451916,16,1,electronics,56,M,France,tablet,credit_card,120.206.61.126,Bangalore,2025-10-07 14:45:00,3,Different,Edge,0.0
61,9792,10.611385120562144,9,4,toys,54,F,India,tablet,bank_transfer,20.41.214.161,London,2025-10-07 15:00:00,6,Different,Safari,0.0
62,6973,31.379367478572902,22,2,books,78,F,Germany,mobile,bank_transfer,133.104.160.122,Chicago,2025-10-07 15:15:00,6,Same as billing,Safari,0.0
63,5775,39.39150533108636,10,0,electronics,52,M,Germany,desktop,paypal,135.202.67.153,Montreal,2025-10-07 15:30:00,1,Same as billing,Safari,0.0
64,261,49.69193466155723,13,4,books,55,F,France,tablet,paypal,234.161.37.4,Chicago,2025-10-07 15:45:00,1,Same as billing,Safari,0.0
65,4397,39.12361777447333,15,0,toys,57,F,France,tablet,bank_transfer,234.51.37.109,Bangalore,2025-10-07 16:00:00,9,Same as billing,Firefox,0.0
66,1095,40.71345864150114,12,6,books,44,M,China,desktop,paypal,135.67.178.35,New York,2025-10-07 16:15:00,2,Different,Safari,0.0
67,7729,32.74073952029589,22,6,home,75,M,India,desktop,bank_transfer,125.189.145.80,New York,2025-10-07 16:30:00,2,Different,Chrome,0.0
68,9567,49.3665196536508,12,5,toys,43,F,USA,mobile,crypto,224.154.4.153,Chicago,2025-10-07 16:45:00,9,Different,Firefox,0.0
69,1116,33.798037330155665,14,6,toys,29,F,India,mobile,paypal,53.68.135.59,New York,2025-10-07 17:00:00,5,Same as billing,Firefox,0.0
70,7969,43.71139788798669,7,6,books,19,M,China,mobile,debit_card,54.79.139.144,New York,2025-10-07 17:15:00,6,Same as billing,Chrome,0.0
71,6539,47.560309080843005,11,4,electronics,60,F,India,mobile,credit_card,107.175.104.135,Bangalore,2025-10-07 17:30:00,3,Same as billing,Edge,0.0
72,7992,46.84363252252524,15,1,groceries,75,F,USA,tablet,bank_transfer,250.128.26.47,Bangalore,2025-10-07 17:45:00,7,Same as billing,Safari,0.0
73,6963,22.163690470251044,18,5,clothing,77,M,China,desktop,credit_card,216.141.22.1,Lyon,2025-10-07 18:00:00,2,Same as billing,Firefox,0.0
74,8016,8.53979262414164,7,6,groceries,37,M,France,mobile,credit_card,170.66.134.82,Bangalore,2025-10-07 18:15:00,5,Different,Chrome,0.0
75,8629,12.734316614266106,15,2,home,52,F,USA,desktop,paypal,226.218.4.57,Berlin,2025-10-07 18:30:00,4,Same as billing,Firefox,0.0
76,978,7.665048742847336,15,0,toys,72,M,France,mobile,credit_card,38.76.18.189,Berlin,2025-10-07 18:45:00,8,Different,Firefox,0.0
77,9368,9.7428620673113,10,2,toys,27,M,France,desktop,debit_card,75.220.65.21,New York,2025-10-07 19:00:00,2,Different,Safari,0.0
78,4987,13.309306065216393,9,6,home,25,M,China,mobile,paypal,157.186.20.183,Guangzhou,2025-10-07 19:15:00,1,Different,Chrome,0.0
79,4959,20.34924424643308,7,1,clothing,57,F,UK,desktop,bank_transfer,107.127.52.181,Toronto,2025-10-07 19:30:00,2,Same as billing,Chrome,0.0
80,6431,29.459284095878413,12,6,toys,63,F,USA,mobile,credit_card,208.79.121.83,Bangalore,2025-10-07 19:45:00,2,Different,Edge,0.0
81,8671,37.02569267097887,23,3,groceries,53,M,Germany,tablet,credit_card,90.211.12.91,New York,2025-10-07 20:00:00,8,Different,Chrome,0.0
82,8784,14.491730124793037,22,3,home,48,M,Germany,mobile,crypto,170.210.127.136,Chicago,2025-10-07 20:15:00,1,Different,Chrome,0.0
83,7308,35.26350819071627,16,0,toys,32,F,USA,desktop,bank_transfer,81.55.195.19,Berlin,2025-10-07 20:30:00,1,Different,Safari,0.0
84,5376,36.69165835260888,23,5,groceries,59,F,USA,mobile,crypto,240.113.102.235,Chicago,2025-10-07 20:45:00,1,Different,Safari,0.0
85,2162,30.138005158978526,13,1,home,35,F,USA,tablet,bank_transfer,179.156.116.114,Bangalore,2025-10-07 21:00:00,3,Same as billing,Chrome,0.0
86,164,45.66280414094198,17,6,home,71,F,USA,tablet,credit_card,12.98.204.168,Birmingham,2025-10-07 21:15:00,5,Different,Edge,0.0
87,8106,9.994766626481479,6,0,home,32,M,UK,mobile,credit_card,142.35.142.179,London,2025-10-07 21:30:00,8,Different,Edge,0.0
88,2668,12.970465592108877,17,5,clothing,36,M,France,desktop,debit_card,204.169.14.59,London,2025-10-07 21:45:00,8,Different,Edge,0.0
89,5563,24.289917097526818,11,0,home,41,F,USA,desktop,paypal,133.91.135.19,New York,2025-10-07 22:00:00,5,Different,Edge,0.0
90,2127,10.70207308554075,8,0,electronics,52,F,China,desktop,debit_card,55.222.176.160,Birmingham,2025-10-07 22:15:00,5,Same as billing,Edge,0.0
91,2795,30.483326467583936,10,2,books,19,M,USA,desktop,bank_transfer,223.59.197.97,Montreal,2025-10-07 22:30:00,7,Different,Firefox,0.0
92,9787,22.9280209974241,19,4,books,30,F,France,tablet,bank_transfer,130.22.223.0,Montreal,2025-10-07 22:45:00,1,Same as billing,Edge,0.0
93,5358,17.806810754116327,17,1,home,62,F,France,tablet,bank_transfer,100.186.220.35,Lyon,2025-10-07 23:00:00,1,Different,Safari,0.0
94,5718,12.649541585793678,18,2,toys,74,M,France,mobile,bank_transfer,169.160.63.153,Lyon,2025-10-07 23:15:00,1,Different,Chrome,0.0
95,6836,20.090220725669464,18,5,books,26,M,China,desktop,paypal,158.209.167.206,Birmingham,2025-10-07 23:30:00,8,Different,Safari,0.0
96,491,32.35817078745539,22,4,groceries,74,F,Canada,mobile,credit_card,151.65.98.215,Birmingham,2025-10-07 23:45:00,8,Same as billing,Chrome,0.0
97,5992,30.910334490023523,20,0,groceries,52,F,Germany,tablet,debit_card,194.89.154.207,Berlin,2025-10-08 00:00:00,4,Same as billing,Chrome,0.0
98,3661,12.363080009460521,11,3,toys,19,F,China,mobile,credit_card,0.155.146.107,Guangzhou,2025-10-08 00:15:00,5,Same as billing,Safari,0.0
99,6284,10.621391483328503,17,6,groceries,63,M,USA,mobile,crypto,220.164.238.226,Toronto,2025-10-08 00:30:00,7,Same as billing,Safari,0.0
100,3199,6.200454317399264,7,2,electronics,33,F,UK,desktop,debit_card,226.109.242.86,Montreal,2025-10-08 00:45:00,6,Same as billing,Safari,0.0
101,6378,5.559151720726952,9,1,toys,63,M,UK,tablet,bank_transfer,43.145.171.47,Bangalore,2025-10-08 01:00:00,2,Same as billing,Edge,0.0
102,8492,44.59146960738583,17,1,groceries,53,F,India,tablet,bank_transfer,120.158.115.101,Birmingham,2025-10-08 01:15:00,7,Same as billing,Chrome,0.0
103,3204,7.0289985202425465,8,4,home,19,F,France,mobile,crypto,75.12.23.125,Toronto,2025-10-08 01:30:00,2,Same as billing,Edge,0.0
104,7315,37.904949944296085,22,2,groceries,33,M,UK,tablet,debit_card,243.37.233.212,Berlin,2025-10-08 01:45:00,4,Same as billing,Chrome,0.0
105,2554,44.239329331023065,11,0,home,25,M,Germany,desktop,paypal,99.196.253.204,Chicago,2025-10-08 02:00:00,4,Different,Firefox,0.0
106,9096,9.41260318531059,22,4,groceries,75,F,USA,mobile,paypal,124.75.2.54,London,2025-10-08 02:15:00,5,Different,Edge,0.0
107,2831,24.633564072485793,22,5,groceries,18,M,India,tablet,bank_transfer,217.112.90.237,Birmingham,2025-10-08 02:30:00,1,Same as billing,Chrome,0.0
108,8254,48.30363424284245,16,1,groceries,35,F,UK,desktop,bank_transfer,25.127.62.233,Lyon,2025-10-08 02:45:00,3,Same as billing,Chrome,0.0
109,9862,42.53623972356133,12,5,home,71,M,Germany,tablet,bank_transfer,68.237.162.226,New York,2025-10-08 03:00:00,8,Different,Chrome,0.0
110,5156,27.036681433603476,7,2,groceries,58,M,Germany,desktop,crypto,218.228.81.243,New York,2025-10-08 03:15:00,6,Different,Chrome,0.0
111,8210,39.31570007561988,7,3,groceries,43,F,Canada,mobile,crypto,230.132.126.141,Birmingham,2025-10-08 03:30:00,3,Different,Firefox,0.0
112,3940,42.50199309942487,18,5,electronics,61,M,Canada,desktop,credit_card,248.122.140.225,New York,2025-10-08 03:45:00,2,Same as billing,Safari,0.0
113,1128,20.661213343492367,21,6,clothing,22,F,UK,tablet,crypto,39.146.120.139,Lyon,2025-10-08 04:00:00,6,Different,Firefox,0.0
114,7485,45.14688125914824,22,0,home,38,M,Germany,mobile,debit_card,171.163.41.70,Guangzhou,2025-10-08 04:15:00,3,Same as billing,Safari,0.0
115,602,26.171299385472054,16,6,electronics,52,M,France,tablet,crypto,77.118.196.78,Bangalore,2025-10-08 04:30:00,7,Different,Edge,0.0
116,7010,28.751331360147347,14,1,books,57,F,Canada,mobile,debit_card,109.32.212.208,Lyon,2025-10-08 04:45:00,7,Different,Firefox,0.0
117,9162,49.986843701982394,14,6,toys,45,F,Germany,tablet,paypal,169.238.212.31,London,2025-10-08 05:00:00,2,Same as billing,Safari,0.0
118,7038,42.948633476847256,19,2,clothing,71,M,Canada,mobile,credit_card,105.215.199.10,Bangalore,2025-10-08 05:15:00,4,Same as billing,Edge,0.0
119,4588,21.279650259784102,18,3,electronics,43,F,USA,mobile,crypto,194.244.3.180,Toronto,2025-10-08 05:30:00,3,Different,Edge,0.0
120,306,5.465551841271497,16,1,electronics,49,F,India,desktop,paypal,152.199.214.112,Birmingham,2025-10-08 05:45:00,8,Different,Firefox,0.0
121,5234,33.177833320725256,17,3,groceries,77,F,Germany,mobile,debit_card,249.112.139.223,Guangzhou,2025-10-08 06:00:00,8,Different,Safari,0.0
122,6077,36.67610417576485,8,1,books,65,F,Germany,mobile,credit_card,248.14.199.172,Birmingham,2025-10-08 06:15:00,4,Same as billing,Safari,0.0
123,7821,34.28612105645209,6,4,books,67,M,China,desktop,paypal,207.84.239.65,Toronto,2025-10-08 06:30:00,4,Different,Edge,0.0
124,7135,48.55380580234459,13,6,groceries,61,F,USA,mobile,debit_card,13.201.13.42,London,2025-10-08 06:45:00,6,Different,Edge,0.0
125,1584,43.83369622994649,18,4,electronics,61,M,China,tablet,credit_card,219.69.236.93,Berlin,2025-10-08 07:00:00,6,Same as billing,Safari,0.0
126,7958,25.197426193129182,12,4,electronics,38,F,Canada,desktop,bank_transfer,25.133.194.167,Montreal,2025-10-08 07:15:00,6,Same as billing,Safari,0.0
127,963,7.8285869362571425,18,2,groceries,21,F,USA,desktop,crypto,108.232.167.172,Berlin,2025-10-08 07:30:00,2,Different,Firefox,0.0
128,2890,26.42264462758986,11,4,clothing,76,F,India,mobile,bank_transfer,194.142.215.129,London,2025-10-08 07:45:00,8,Same as billing,Safari,0.0
129,7508,36.01598089829104,8,2,home,59,F,UK,desktop,bank_transfer,41.240.9.26,New York,2025-10-08 08:00:00,7,Different,Firefox,0.0
130,8855,32.346941370215205,11,0,clothing,58,M,France,tablet,bank_transfer,179.114.35.20,Bangalore,2025-10-08 08:15:00,2,Same as billing,Safari,0.0
131,5216,29.216168046989818,8,4,home,53,F,Canada,mobile,paypal,15.126.102.10,Bangalore,2025-10-08 08:30:00,8,Same as billing,Safari,0.0
132,6119,26.09685311068586,18,2,books,41,F,India,mobile,bank_transfer,78.122.64.242,Guangzhou,2025-10-08 08:45:00,1,Same as billing,Safari,0.0
133,1857,18.219284286232384,18,1,toys,50,M,Germany,mobile,bank_transfer,58.111.238.131,Toronto,2025-10-08 09:00:00,7,Different,Chrome,0.0
134,7674,17.480604277608315,18,2,groceries,22,F,UK,tablet,paypal,188.85.58.83,Bangalore,2025-10-08 09:15:00,6,Different,Chrome,0.0
135,6474,27.510416551661084,6,5,clothing,74,F,Canada,tablet,crypto,159.55.13.159,Birmingham,2025-10-08 09:30:00,9,Different,Chrome,0.0
136,6992,12.227141589334206,13,2,books,20,F,India,tablet,credit_card,192.203.101.38,London,2025-10-08 09:45:00,3,Different,Firefox,0.0
137,1778,20.33084406086607,10,6,clothing,28,F,India,desktop,credit_card,124.52.154.61,Lyon,2025-10-08 10:00:00,9,Different,Edge,0.0
138,3342,19.57906736195448,22,5,electronics,62,M,France,desktop,crypto,21.177.219.189,Guangzhou,2025-10-08 10:15:00,5,Same as billing,Firefox,0.0
139,4736,31.42097607128904,14,1,home,49,M,Germany,mobile,paypal,35.174.6.215,Lyon,2025-10-08 10:30:00,5,Same as billing,Edge,0.0
140,1159,8.000703516336106,18,6,groceries,39,M,USA,mobile,bank_transfer,250.54.221.185,Guangzhou,2025-10-08 10:45:00,6,Same as billing,Edge,0.0
141,6768,42.33509061192928,18,2,electronics,28,M,France,mobile,credit_card,235.78.222.90,Berlin,2025-10-08 11:00:00,3,Same as billing,Safari,0.0
142,3257,30.307027117298095,10,6,home,75,F,China,desktop,crypto,138.247.238.223,Berlin,2025-10-08 11:15:00,4,Same as billing,Edge,0.0
143,6015,35.18720063491709,19,1,electronics,55,F,Canada,tablet,crypto,137.165.125.44,Montreal,2025-10-08 11:30:00,6,Different,Firefox,0.0
144,9889,36.63922566917448,16,6,home,76,M,Germany,tablet,bank_transfer,142.230.124.237,Guangzhou,2025-10-08 11:45:00,5,Same as billing,Safari,0.0
145,2793,18.11678615791414,19,5,home,39,F,Canada,mobile,crypto,194.172.14.253,Chicago,2025-10-08 12:00:00,8,Different,Chrome,0.0
146,3727,26.166720532318994,12,3,electronics,21,F,France,tablet,paypal,166.93.249.108,London,2025-10-08 12:15:00,7,Different,Edge,0.0
147,9655,48.03106801413502,22,4,books,56,M,India,desktop,paypal,181.132.174.143,Birmingham,2025-10-08 12:30:00,1,Different,Safari,0.0
148,5550,39.50173570985667,9,5,groceries,20,M,Germany,tablet,credit_card,141.5.97.43,Berlin,2025-10-08 12:45:00,6,Same as billing,Chrome,0.0
149,1763,48.63005938504334,15,0,toys,71,M,India,mobile,debit_card,123.208.250.123,Guangzhou,2025-10-08 13:00:00,5,Different,Safari,0.0
150,9821,38.58144553158297,15,2,clothing,27,F,France,mobile,crypto,243.251.229.8,Lyon,2025-10-08 13:15:00,9,Different,Chrome,0.0
151,5692,12.902006286883283,20,6,home,54,F,Canada,tablet,paypal,47.150.113.207,Lyon,2025-10-08 13:30:00,3,Same as billing,Safari,0.0
152,7492,7.904114773010431,17,1,groceries,36,F,China,mobile,bank_transfer,124.156.188.242,Lyon,2025-10-08 13:45:00,4,Different,Chrome,0.0
153,1406,30.994764652384863,14,4,clothing,35,F,Germany,mobile,bank_transfer,176.217.169.180,New York,2025-10-08 14:00:00,4,Same as billing,Chrome,0.0
154,6876,21.10159758661743,8,6,groceries,45,F,India,desktop,debit_card,232.138.156.128,Toronto,2025-10-08 14:15:00,4,Different,Chrome,0.0
155,5964,17.395605956217658,20,2,electronics,48,F,India,desktop,debit_card,118.61.98.161,Guangzhou,2025-10-08 14:30:00,9,Different,Edge,0.0
156,9574,41.32449483914379,17,4,clothing,34,M,India,tablet,debit_card,61.94.98.110,Birmingham,2025-10-08 14:45:00,8,Different,Edge,0.0
157,7626,21.51469701868763,20,3,groceries,41,M,India,mobile,bank_transfer,247.141.144.51,London,2025-10-08 15:00:00,9,Different,Edge,0.0
158,9001,19.26504363804368,6,2,toys,18,M,Germany,tablet,crypto,99.151.116.184,Birmingham,2025-10-08 15:15:00,4,Same as billing,Firefox,0.0
159,5675,43.249441692605465,20,6,groceries,22,M,India,desktop,paypal,91.154.7.64,Toronto,2025-10-08 15:30:00,3,Different,Safari,0.0
160,5630,43.08293014189071,16,1,groceries,49,F,India,desktop,bank_transfer,140.23.27.149,Toronto,2025-10-08 15:45:00,5,Same as billing,Safari,0.0
161,4513,21.036498698977546,10,3,home,70,M,Germany,desktop,paypal,64.251.52.6,Berlin,2025-10-08 16:00:00,2,Different,Firefox,0.0
162,3848,42.46244154436848,12,2,home,34,M,Canada,tablet,debit_card,145.240.245.225,Berlin,2025-10-08 16:15:00,5,Different,Firefox,0.0
163,763,43.28503206496972,17,4,home,74,M,UK,desktop,credit_card,174.94.26.129,New York,2025-10-08 16:30:00,2,Same as billing,Chrome,0.0
164,2098,24.07687407633498,11,6,electronics,38,M,China,mobile,crypto,244.58.33.205,Guangzhou,2025-10-08 16:45:00,2,Same as billing,Safari,0.0
165,8094,7.99129085941272,8,3,groceries,58,F,Canada,desktop,debit_card,251.37.27.77,London,2025-10-08 17:00:00,7,Same as billing,Safari,0.0
166,1595,5.071309000985305,15,1,toys,60,M,USA,tablet,debit_card,76.155.43.127,Berlin,2025-10-08 17:15:00,4,Different,Edge,0.0
167,3404,28.548160830004775,9,2,clothing,39,F,UK,desktop,paypal,60.213.115.194,Lyon,2025-10-08 17:30:00,6,Different,Chrome,0.0
168,3863,20.48339720166601,18,4,home,56,M,Canada,tablet,bank_transfer,230.226.152.219,London,2025-10-08 17:45:00,9,Different,Firefox,0.0
169,5332,49.87093523712647,10,6,books,56,F,USA,mobile,credit_card,156.30.50.106,Bangalore,2025-10-08 18:00:00,3,Different,Safari,0.0
170,1953,39.75849498322779,23,4,groceries,51,M,India,desktop,crypto,108.135.41.80,Bangalore,2025-10-08 18:15:00,1,Different,Safari,0.0
171,6685,39.25739553576856,6,5,toys,31,F,France,tablet,credit_card,122.88.38.80,Guangzhou,2025-10-08 18:30:00,3,Different,Chrome,0.0
172,1391,47.985924572930465,21,3,toys,33,F,USA,mobile,debit_card,1.209.230.240,Lyon,2025-10-08 18:45:00,3,Same as billing,Chrome,0.0
173,3681,44.94759790519944,21,6,home,22,F,China,mobile,credit_card,149.16.118.147,Bangalore,2025-10-08 19:00:00,3,Same as billing,Chrome,0.0
174,7654,19.31843657553749,21,2,electronics,35,M,Germany,desktop,crypto,144.232.36.119,Toronto,2025-10-08 19:15:00,4,Same as billing,Firefox,0.0
175,7380,12.469424972174437,21,5,home,21,M,China,mobile,debit_card,135.101.217.58,Berlin,2025-10-08 19:30:00,3,Same as billing,Chrome,0.0
176,1736,38.5651519279467,6,4,electronics,61,M,UK,mobile,crypto,115.76.136.72,Bangalore,2025-10-08 19:45:00,5,Same as billing,Edge,0.0
177,3796,22.022325215729285,15,3,books,68,F,Canada,tablet,credit_card,36.30.84.157,Birmingham,2025-10-08 20:00:00,8,Same as billing,Chrome,0.0
178,798,26.292769323393042,7,0,books,45,F,India,tablet,debit_card,147.224.63.239,New York,2025-10-08 20:15:00,3,Different,Chrome,0.0
179,4837,33.36789790736721,19,6,home,62,F,China,tablet,debit_card,155.206.139.252,Lyon,2025-10-08 20:30:00,6,Different,Firefox,0.0
